code,name
11.01.17.2007,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat
Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.17.2008,Semula wil Kec. Bakongan Perda No. 3/2010
11.01.17.2009,Semula wil Kec. Bakongan Perda No. 3/2010
11.01.17.2010,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat
Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.18,Pemekaran Kec Perda No. 4/2010
11.01.18.2001,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.01.18.2002,"Semula wil Kec. Trumon Perda No. 4/2010, Perbaikan nama sesuai
Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.18.2003,Semula wil Kec. Trumon Perda No. 4/2010
11.01.18.2004,Semula wil Kec. Trumon Perda No. 4/2010
11.01.18.2005,Semula wil Kec. Trumon Perda No. 4/2010
11.01.18.2006,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.01.18.2007,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.01.18.2008,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.01.18.2009,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.01.18.2010,Semula wil Kec. Trumon Timur Perda No. 4/2010
11.02,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
11.02.01,-
11.02.01.2001,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.01.2002,Rumah Kampung
11.02.01.2004,Pasir Bangun
11.02.01.2006,Kubu
11.02.01.2007,Lawe Kongker
11.02.01.2008,Kuta Cingkam II
11.02.01.2009,Muara Baru
11.02.01.2011,Kuta Batu I
11.02.01.2012,Kuta Cingkam I
11.02.01.2013,Kuta Batu II
11.02.01.2014,Lawe Sempilang
11.02.01.2015,Prapat Batu Nunggul
11.02.01.2016,Pulo Sepang
11.02.01.2017,Rih Mbelang
11.02.01.2018,Kute Batu Baru
11.02.01.2019,Darul Amin
11.02.01.2020,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.01.2021,Batu Hamparan
11.02.01.2022,Paye Munje
